en,de
"the internal market can make an active contribution to sustainable development, through for example market instruments for the trading of emission allowances, the further application of the ""polluter pays"" principle and more systematic assessment of the environmental impact of public policy proposals.","der binnenmarkt kann aktiv zu einer nachhaltigen entwicklung beitragen, beispielsweise durch marktinstrumente für den handel mit emissionsrechten, durch die konsequente anwendung des ""verursacherprinzips"" und eine systematischere umweltverträglichkeitsprüfung aller staatlichen politikvorschläge."
"the first abuse, according to the commission, concerned certain restrictions on the availability and content of service contracts (in particular a prohibition on member companies entering into individual contracts, and restrictive clauses applied to individual service contracts from 1996, in particular the ban on multiple contracts and contingency clauses).",der erste missbrauchstatbestand betraf laut kommission bestimmte beschränkungen der verfügbarkeit und inhaltlichen gestaltung von servicekontrakten (insbesondere wurde konferenzgebundenen reedereien der abschluss individueller kontrakte untersagt; außerdem wurden bereits 1996 mehrfachkontrakte und contingency-klauseln in individuellen servicekontrakten verboten).
the european council endorsed the conclusions of the two reports and asked the council to reach agreement before the end of the year on the basis of the commission's proposals on trade in precursors with non-community countries and on an integrated programme for cooperation with colombia with particular regard to the sale and price of coffee and other substitute products.,"der europaeische rat pflichtete den schlussfolgerungen der beiden berichte bei und ersuchte den rat, vor jahresende auf der grundlage der kommissionsvorschlaege ein einvernehmen ueber den handel mit vorpr odukten mit nichtgemeinschaftslaendern und ueber ein integriertes pr ogramm fuer die zusammenarbeit mit kolumbien, inbesondere hinsichtlich der absatzmoeglichkeiten und des preises von kaffee und anderen subst itutionserzeugnissen, zu erzielen."
"the european council notes the adoption of a number of texts seeking to increase consumer protection in the areas of product safety, indebtedness, the standards applicable to blood products and the prudent use of antimicrobial agents in human medicine.","der europäische rat nimmt zur kenntnis, dass mehrere rechtsakte für einen erhöhten verbraucherschutz in den bereichen produktsicherheit, verschuldung, normen für blutprodukte und umsichtige verwendung antimikrobieller mittel in der humanmedizin angenommen wurden."
"such particles can cause asthma, cardiovascular problems, lung cancer and premature deaths which exceed the number of yearly deaths by road traffic accidents.","der feine staub kann asthmaanfälle, herz-kreislauf-probleme, lungenkrebs und vorzeitige todesfälle verursachen, die jährlich in größerer zahl auftreten als tödliche straßenverkehrsunfälle."
"the trust fund supports energy, transport, water and telecommunications projects through interest rate subsidies, technical assistance, grants for social or environmental components of projects and grants covering early-stage premiums on risk mitigation insurance.","der fonds unterstützt energie-, verkehrs-, wasser- und telekommunikationsvorhaben durch zinsvergünstigungen, technische hilfe, zuschüsse zu sozialen oder ökologischen projektkomponenten sowie zuschüsse zu versicherungsprämien für die minderung der risiken im anfangsstadium von projekten."
"the court further concluded that the ban of manufacturing cigarettes which do not comply with the maximum levels set by the directive - 10 mg per cigarette for tar, 1 mg per cigarette for nicotine and 10 mg per cigarette for carbon monoxide - does not only apply to products for the internal market but also affects cigarettes manufactured in the eu for exports to third countries.","der gerichtshof entschied außerdem, dass das verbot der herstellung von zigaretten, die nicht mit den in der richtlinie festgelegten höchstwerten übereinstimmen, nämlich 10 mg teergehalt je zigarette, 1 mg nikotingehalt je zigarette und 10 mg kohlenmonoxidgehalt je zigarette, nicht nur für erzeugnisse für den binnenmarkt gelten, sondern auch in der eu hergestellte zigaretten für den export in drittländer betreffen."
"the internal market council, recognising that the internal market is the cornerstone for the european union's microeconomic policies, acknowledges its responsibility to promote a clear and coherent market environment which fosters knowledge and innovation, supports technological development and enhances competitiveness to achieve substantially improved performance for consumers and businesses, in particular small and medium-sized enterprises (smes).","der rat ""binnenmarkt"" erkennt an, daß der binnenmarkt der eckstein für die makroökonomischen politiken der europäischen union ist, und bekennt sich damit zu seiner aufgabe, auf ein klares und kohärentes marktumfeld hinzuwirken, in dem der ausbau der kenntnisse, innovationen, die technologische entwicklung und die wettbewerbsfähigkeit gefördert werden, so daß deutlich bessere leistungen für die verbraucher und die wirtschaft, insbesondere die kleinen und mittleren unternehmen (kmu), erbracht werden können."
"the council reconfirms its support to the process of modernisation of ukraine and to the eu’s continued work with ukraine to this end, including through bilateral financial assistance and potential eu macro-financial assistance and the facilitation of support from international financial institutions for the modernisation of the ukrainian gas transmission system, in accordance with existing agreements, including the energy community treaty.","der rat bekräftigt, dass er den modernisierungsprozess der ukraine und die fortführung der einschlägigen arbeiten der eu mit der ukraine auch durch eine bilaterale finanzhilfe und eine potenzielle makrofinanzhilfe der eu sowie die förderung der unterstützung durch internationale finanzeinrichtungen für die modernisierung des ukrainischen erdgas-fernleitungsnetzes im einklang mit bestehenden übereinkünften, einschließlich des vertrags zur gründung der energiegemeinschaft, unterstützt."
"the council decided to impose a moratorium on bilateral ministerial level contacts with zimbabwe until further notice except for the conduct of political dialogue intended to promote democracy, human rights, the rule of law in zimbabwe, regional security and for addressing humanitarian needs.","der rat beschloss, für bilaterale kontakte auf ministerebene mit simbabwe bis auf weiteres ein moratorium zu verhängen, außer in bezug auf den politischen dialog zur förderung von demokratie, menschenrechten und rechtsstaatlichkeit in simbabwe und zur förderung der regionalen sicherheit sowie auf die deckung humanitärer bedürfnisse.."
"the council discussed iran, in particular the nuclear dossier, the situation regarding human rights and the eu's relations with iran.","der rat hat über iran beraten, und zwar insbesondere über das atomprogramm, die menschen­rechtslage und die beziehungen der eu zu dem staat."
the council held a public debate - in accordance with the conclusions of the edinburgh european council on transparency - on the commission proposals on the prices for agricultural products and on related measures for the 1996/1997 marketing year.,der rat hatte - entsprechend den schlußfolgerungen des europäischen rates von edinburgh über die transparenz - eine offene aussprache über die kommissionsvorschläge zu den agrarpreisen und flankierenden maßnahmen für das wirtschaftsjahr 1996/1997.
"the council heard an oral presentation by johnny åckerholm, chairman of economic and financial committee (efc), on issues of corporate governance.","der rat hörte die mündlichen ausführungen des vorsitzenden des wirtschafts- und finanzausschusses (wfa), herrn johnny åkerholm, zum thema unternehmensverfassung."
"the council heard an intervention of the commission on the risks of antibiotic resistance caused by the widespread use of antibiotics in human medicine in addition to those used in veterinary medicine and animal production, and on the actions planned or already underway at community level to foster more careful and appropriate use of such substances in human treatment.","der rat nahm die ausführungen der kommission zu den gefahren der resistenz gegen antibiotika entgegen, die dadurch entsteht, daß zusätzlich zu den in der tiermedizin und bei der tierhaltung verwendeten antibiotika auch in der humanmedizin die verwendung von antibiotika weit verbreitet ist; ferner berichtete die kommission über die maßnahmen, die auf gemeinschaftsebene geplant sind oder bereits durchgeführt werden und auf die förderung einer vorsichtigeren und angemesseneren verwendung solcher stoffe in der humanmedizin abzielen."
"the council encourages all parties concerned to address bilateral issues, falling outside areas of eu competence and/or contractual obligations towards the eu, in a constructive spirit, as early as possible, taking into account overall eu interests and values.","der rat ruft alle betroffenen parteien auf, bilaterale fragen, die außerhalb der zuständigkeitsbereiche der eu und/oder vertraglicher verpflichtungen gegenüber der eu liegen, in einem konstruktiven geiste so bald wie möglich unter berücksichtigung der gesamtinteressen und werte der eu anzugehen."
"the council recognises that the new programme of community action in the field of public health together with, inter alia, the new research and telematics programmes provide a framework to pursue a number of issues in relation to mobility of patients, in particular aspects relating to information and exchanges of experience.","der rat stellt fest, dass das neue aktionsprogramm der gemeinschaft im bereich der öffentlichen gesundheit in verbindung mit u.a. den neuen forschungs- und telematikprogrammen einen rahmen zur erörterung einer reihe von fragen, die die freizügigkeit von patienten betreffen, und insbesondere der aspekte informations- und erfahrungsaustausch, bietet."
"moreover, in the context of the mid-term review of the lisbon strategy, the council points out the role of the initiative as an instrument for enhancing potential growth, in particular, by expanding and improving european infrastructures within the internal market, as well as by increasing and improving investment in research and development, according to the commission's identified priority areas.","der rat weist darüber hinaus im kontext der halbzeitüberprüfung der lissabonner strategie darauf hin, dass die initiative ein instrument zur förderung des wachstumspotenzials ist, und zwar insbesondere durch die erweiterung und verbesserung der europäischen infrastrukturen im binnenmarkt sowie durch die steigerung und verbesserung der investitionen in forschung und entwicklung in den von der kommission herausgestellten schwerpunktbereichen."
"in the context of reform of the united nations and with a view to the summit meeting in new york in september 2005, the council affirmed its full support for all initiatives tending to reinforce the chr and expressed the wish for human rights to be at the heart of reform of the united nations, of which they are a fundamental dimension.","der rat wies im zusammenhang mit der reform der vereinten nationen und mit blick auf den gipfel in new york im september 2005 darauf hin, dass er alle initiativen zur stärkung der menschenrechtskommission voll unterstützt, und er äußerte den wunsch, dass die menschenrechte bei der reform der vereinten nationen, für die sie eine grundlegende dimension darstellen, im zentrum stehen."
"in this context, the council underlined the particular importance of further amendments to the proposed amnesty law in order to ensure full consistency with colombia's obligations under international instruments regarding human rights and international humanitarian law.","der rat wies in diesem zusammenhang darauf hin, dass es von besonderer wichtigkeit ist, weitere änderungen an dem vorgeschlagenen amnestiegesetz vorzunehmen, um eine vollständige übereinstimmung mit den kolumbien aus internationalen menschenrechtsübereinkünften und dem humanitären völkerrecht erwachsenden verpflichtungen zu gewährleisten."
they will focus on unlocking the genetic code of breast cancer (the most common class of cancer diagnosed in women worldwide with more than one million cases diagnosed annually) and kidney cancer (of particular importance in europe where the highest global incidence rates are observed).,"der schwerpunkt der projekte liegt auf der entschlüsselung des genetischen codes von brustkrebs (mit mehr als einer million diagnostizierten fällen jährlich die weltweit bei frauen am weitesten verbreitete krebserkrankung) sowie von nierenkrebs (einer in europa, wo die inzidenzraten im globalen vergleich am höchsten sind, besonders bedeutenden krebsart)."
"make the irish flag more competitive, thereby promoting employment, maintaining vessels under the irish flag and attracting non-irish ship-owners to locate in ireland;","der standort irland wettbewerbsfähiger werden, damit die beschäftigung gefördert wird und schiffe weiterhin unter irischer flagge fahren bzw. ausländische schiffseigner sich in irland niederlassen;"
"the plan adopted by the commission proposes action at community level in areas such as health information and education; training of doctors, nurses and other health professionals; epidemiology and cancer registers; early detection and systematic screening.","der von der kommission verabschiedete plan enthält vorschläge für gemeinschaftsweite aktionen in bereichen wie gesundheitsaufklärung und - erziehung, ausbildung von ärzten, pflegepersonal und sonstigen angehörigen medizinischer berufe, epidemiologie und krebsregister, früherkennung und systematische vorsorgeuntersuchungen."
"the directive aims at limiting emissions of four acidifying and eutrophying pollutants and ozone precursors - sulphur dioxide (so2), nitrogen oxides (nox), volatile organic compounds (voc) and ammonia (nh3) - in order to improve the protection of the environment and human health, towards the long-term objective of no exceedance of critical levels and loads.","der vorschlag zielt darauf ab, die emissionen von vier schadstoffen, die für versauerung und eutrophierung verantwortlich sind bzw. bei denen es sich um ozonvorläufer handelt - und zwar schwefeldioxid (so2), stickstoffoxide (nox), flüchtige organische verbindungen (voc) und ammoniak (nh3) - zu begrenzen, um so den schutz der umwelt und der menschlichen gesundheit zu verbessern und dem langfristigen ziel der einhaltung kritischer werte und belastungen näher zu kommen."
"it also aims to set up rules for ensuring the traceability of tissues and cells of human origin from donor to patient and vice versa, as well as a system for the regulation of imports of human tissues and cells from third countries, ensuring that equivalent standards of quality and safety will apply.","der vorschlag zielt ferner darauf ab, regeln zur gewährleistung der rückverfolgbarkeit von geweben und zellen menschlichen ursprungs vom spender zum empfänger und umgekehrt aufzustellen und ein system zur regelung der einfuhr menschlicher gewebe und zellen aus drittländern zwecks gewährleistung gleichwertiger qualitäts- und sicherheitsstandards zu schaffen."
"in particular, the presidency proposed creating a new sds sub-area within the council's working party on the environment and extending the remit of the environment and development sub-area of the working party on international environment issues, changing its name accordingly.","der vorsitz schlägt insbesondere vor, in der ratsgruppe ""umwelt"" die neue untergliederung ""strategie für nachhaltige entwicklung"" einzurichten und das mandat der untergliederung ""umwelt und entwicklung"" der gruppe ""internationale umweltaspekte"", die entsprechend umbenannt würde, zu erweitern."
"the action plan’s added value is to improve the coordination between the health, environment and research sectors in order to provide a systematic review of the effect of our policy in improving health-related results so that it can be adjusted as needed.","der vorzug des aktionsplans besteht darin, dass er die koordinierung zwischen gesundheitswesen, umweltschutz und forschung verbessert, um einen systematischen überblick über die auswirkungen unserer politik bei der verbesserung gesundheitlicher ergebnisse zu vermitteln, so dass er bei bedarf neu ausgerichtet werden kann."
welfare state and redistribution through the tax system are at the heart of the european social model; this model too is confronted with the need to modernise to face the challenge of a globalised economy and financial markets.,"der wohlfahrtsstaat und die umverteilung durch das steuersystem sind das herzstück des europäischen gesellschaftsmodells; aber dieses modell muss ebenfalls angepasst werden, um der herausforderung einer globalisierten wirtschaft und globalisierter finanzmärkte gewachsen zu sein."
"therefore, the commission has proposed an integrated approach to enhance the protection of human health and of the environment from the effects of dioxins and pcbs"".",deshalb hat die kommission ein integriertes konzept zur verbesserung des schutzes der menschlichen gesundheit und der umwelt vor den auswirkungen von dioxinen und pcb vorgeschlagen.
it has launched a further study looking at the ethical and legal aspects of stem cell patenting.,"deshalb hat sie eine weitere studie in auftrag gegeben, die sich mit den ethischen und rechtlichen aspekten der patentierung von stammzellen befassen soll."
"the 455 operational programmes at the heart of the cohesion policy are ""green-proofed"": prior to approval by the european commission, member states have to submit a strategic environmental assessment to ensure their programmes respect eu environmental rules.","die 455 operationellen programme, die den kern der kohäsionspolitik bilden, sind „umweltgeprüft“: vor der zustimmung der europäischen kommission müssen die mitgliedstaaten eine strategische umweltprüfung vorlegen, mit der sichergestellt wird, dass ihre programme die eu-umweltvorschriften einhalten."
"poverty reduction remains at the heart of the revised agreement, while the continuation of sustainable, long-term financing and inclusion of important security and political dialogue provisions render our partnership even more effective”, stated louis michel, commissioner for development and humanitarian aid, at the occasion of the ceremony.","die armutsverminderung steht weiterhin im mittelpunkt des abkommens, während die fortsetzung einer nachhaltigen, langfristigen finanzierung und die einbeziehung eines wichtigen sicherheitspolitischen und politischen dialogs unsere partnerschaft noch effizienter gestalten"" erläuterte das für entwicklung und humanitäre hilfe zuständige kommissionsmitglied, louis michel, anlässlich der unterzeichnungszeremonie."
"rights-based management includes any system of allocating individual fishing rights to fishermen, fishing vessels, enterprises, cooperatives or fishing communities.","die auf nutzungsrechten basierende bestandsbewirtschaftung umfasst alle systeme, mit denen fischern, fischereifahrzeugen, unternehmen, genossenschaften oder vom fischfang lebenden gemeinden individuelle fangrechte zugeteilt werden."
"the universal use of the cpv would help to ensure that the subject matter of contracts could be accurately identified allow automatic translation of tender notices into all official community languages and play a decisive role in promoting openness and transparency in european public procurement, a market which amounts to well over € 1,000 billion every year across the eu.","die ausschließliche verwendung des cpv würde helfen sicherzustellen, dass der auftragsgegenstand genau beschrieben und die vergabebekanntmachung automatisch in alle amtssprachen der gemeinschaft übersetzt werden kann, und sie würde entscheidend zur offenheit und transparenz im europäischen beschaffungswesen beitragen, einem markt, der eu-weit mit gut einer milliarde euro jährlich veranschlagt wird."
"in particular, they have attracted a higher share of new customers than their market shares would suggest and are the only two nationwide operators that have significantly increased their market shares in recent years.","die beiden unternehmen haben mehr neukunden gewonnen, als dies ihren marktanteilen nach anzunehmen wäre; zudem waren sie die einzigen landesweit tätigen anbieter, die ihre marktanteile in den letzten jahren beträchtlich erhöhen konnten."
"the hundreds of documents found -- minutes of meetings, memoranda, records of telephone conversations, correspondence, etc. unearthed a network of cartel committees which covered the whole of austria and all banking products and services as well as advertising, or rather the lack of it.","die dabei beschlagnahmten hunderte von dokumenten (sitzungsberichte, vermerke, aufzeichnungen von telefongesprächen, briefwechsel usw.) brachten ein netz an kartellausschüssen zutage, das das gesamte österreichische bundesgebiet und sämtliche bankprodukte und -dienstleistungen abdeckte; das gleiche galt für die werbung bzw. für deren nichterfolgung."
the ege is due to deliver its next opinion on the patentability of human stem cells by the end of 2001.,die ege wird ihre nächste stellungnahme zum thema patentierbarkeit von menschlichen stammzellen voraussichtlich bis ende des jahres 2001 abgeben.
"imposing minimum energy requirements in buildings also aims at providing environmentally friendly market incentives both for the renovation of existing buildings and for the construction of 'nearly zero energy buildings', i.e. buildings which consume very little energy thanks to excellent insulation, their orientation towards the sun, energy-efficient heating and cooling systems, etc.","die einführung von mindestanforderungen an die gesamtenergieeffizienz von gebäuden soll auch umweltfreundliche marktanreize sowohl für die renovierung bestehender gebäude als auch für den bau von niedrigstenergiegebäuden setzen, d. h. von gebäuden, die aufgrund ausgezeichneter dämmung, der ausrichtung zur sonne, energieeffizienter heizungs- und klimaanlagen usw. sehr wenig energie verbrauchen."
"emsa has a fleet of oil recovery vessels under contract in the different eu seas, which can be mobilised on request under the civil protection mechanism of the eu.","die emsa hat eine flotte von ölbekämpfungsschiffen auf den verschiedenen meeren der eu unter vertrag, die auf anforderung im rahmen des eu-verfahrens für den katastrophenschutz eingesetzt werden können."
"the finding of a regenerative potential of adult mammalian inner ear hair cells and of their connections to the brain opens up a new, significant possibility for rehabilitation of sensory handicap linked to peripheral inner ear damage: the stimulation of existing self repair mechanisms.",die entdeckung des regenerationspotenzials der haarzellen des innenohrs erwachsener säugetiere und ihrer verbindungen zum gehirn eröffnet eine neue bedeutsame möglichkeit zur wiederherstellung einer sensorischen behinderung aufgrund einer peripheren schädigung des innenohrs: die stimulierung bestehender selbstheilungsfähigkeiten.
"the successful identification of stem cells in the inner ear of mice marks a new milestone in this project, which runs until the end of 2004.",die erfolgreiche identifizierung von stammzellen im innenohr von mäusen ist ein weiterer meilenstein im rahmen dieses bis ende 2004 laufenden projekts.
"the eu needs a coherent fuel cell and hydrogen technology strategy to aid the transition and to help the sector achieve a better cost/benefit ratio, thus making it competitive and turning fuel cells into viable market products.","die eu benötigt eine kohärente strategie für die brennstoff- und wasserstoffzellentechnologie, um den umstieg zu erleichtern und der branche dabei zu helfen, ein besseres kosten-/nutzen-verhältnis zu erreichen, damit der sektor wettbewerbsfähig wird und brennstoffzellen zu einem rentablen marktfähigen produkt werden."
the eu also decided to establish large-scale multidisciplinary research projects to bring together european excellence in these particular areas to accelerate scientific discoveries.,"die eu beschloss ferner, im rahmen multidisziplinärer forschungsgroßprojekte europäische spitzenforscher in diesem speziellen bereich zusammenzubringen, um wissenschaftliche erfolge zu beschleunigen."
"collectively, the eu is the world's largest humanitarian donor – since the start of this year it has delivered over 37% of global humanitarian funding.",die eu ist mit ihren mitgliedstaaten der größte geber humanitärer hilfe in der welt – seit beginn dieses jahres hat sie weltweit über 37 % aller mittel für humanitäre hilfe bereitgestellt.
"today, the commission decided to take poland to the european court of justice for non-compliance with eu rules on the quality and safety of human tissues and cells.","die europäische kommission hat heute beschlossen, beim gerichtshof der europäischen union gegen polen klage wegen der nichteinhaltung des eu-rechts zur qualität und sicherheit von menschlichen geweben und zellen einzureichen."
the european union urges the parties to proceed with the necessary technical and legal preparations in order to establish an electoral environment conducive to the holding of free and fair elections at the earliest convenient time taking into consideration the timetable set by the cpa.,"die europäische union fordert die parteien nachdrücklich auf, die notwendigen technischen und rechtlichen vorbereitungen zu treffen, damit ein umfeld geschaffen wird, welches die abhaltung freier und gerechter wahlen zum frühest möglichen zeitpunkt unter berücksichtigung des durch das umfas­sende friedensabkommen vorgegebenen zeitplans ermöglicht."
"the european union strongly encourages the authorities of the russian federation to work towards putting an end to the climate of impunity and fear in the north caucasus in general and chechnya in particular, and hopes for swift results in the investigation into the death of ms estemirova - as was declared by president medvedev after the murder - and other human rights defenders in the russian federation.","die europäische union ruft die behörden der russischen föderation nachdrücklich dazu auf, sich für ein ende der atmosphäre von straflosigkeit und angst im nordkaukasus im allgemeinen und in tschetschenien im besonderen einzusetzen, und sie hofft, dass die ermittlungen über den tod von natalia estemirowa – wie von präsident medwedew nach ihrer ermordung angekündigt – und anderer menschenrechtsverteidiger in der russischen föderation rasch ergebnisse zeitigen werden."
"the european union expresses its preoccupation at the continuing human rights violations in the north caucasus and the worsening of the situation of human rights defenders in the region, as also noted in dick marty´s (parliamentary assembly of the council of europe) report on the human rights violations in the north caucasus, one year after the assassination of mrs natalia estemirova of the non-governmental organisation memorial.","die europäische union äußert ihre besorgnis angesichts der anhaltenden menschenrechts­verletzungen im nordkaukasus und der verschlechterung der lage der menschenrechts­verteidiger in der region, auf die auch in dem bericht von dick marty (parlamentarische versammlung des europarates) über die menschenrechtsverletzungen im nordkaukasus ein jahr nach der ermordung der mitarbeiterin der nichtregierungsorganisation memorial, natalia estemirowa, hingewiesen wird."
"the overall financial contribution is set at eur 1 262 500 per year, most of it intended to finance scientific and technical programmes to promote better understanding of the fisheries and living resources of the gabonese exclusive economic zone (eez) and a programme for the protection and surveillance of fishing zones.",die finanzielle gegenleistung wird auf insgesamt 1 262 500 euro im jahr festgelegt; ein großteil dieser summe ist für die finanzierung von wissenschaftlichen und technischen programmen zur besseren bestandskundlichen und biologischen erforschung der ausschließlichen wirtschaftszone (awz) gabuns sowie eines programms zum schutz und zur überwachung der fischereizonen bestimmt.
"the fine imposed on outokumpu reflects a 50 % reduction to reward it for its early and extensive co-operation in the investigation, according to section d of the 1996 leniency notice1.",die geldbuße für outokumpu wurde als belohnung für seine frühzeitige und umfassende mitarbeit in dem verfahren gemäß abschnitt d der kronzeugenregelung von 1961 [1] um 50 % ermäßigt.
"the commission increased the fines for arkema france (part of the elf aquitaine group at the time of the infringement) by 90% because it had already been fined by the commission for previous cartels - pvc (27.7.94 - see ip/94/732 ) , polypropylene (23.4.86) and peroxygen products (23.11.84).","die geldbuße gegen arkema france, das zum zeitpunkt der zuwiderhandlung zu elf aquitaine gehörte, wurde von der kommission um 90 % erhöht, da das unternehmen bereits früher wegen kartellaktivitäten (27.7.94: pvc, siehe  ip/94/732  ), 23.4.86: polypropylen-produkte, 23.11.84: peroxid-produkte) mit geldbußen belegt worden war."
"the information society directorate general is supporting the creation of a european online registry on organs, cells and tissues through the eurocet project.","die generaldirektion informationsgesellschaft unterstützt die schaffung eines europäischen online-registers für organe, zellen und gewebe im rahmen des projekts eurocet."
"the belgian authorities plan to assist a programme of investment which is to be undertaken by solvic & cie cnc and solvay interox sa in order to limit the damage done to the environment by their production processes and by the products they market (pvc, hydrogen peroxide and sodium perborate).","die geplanten beihilfen dienen der förderung eines investitionsprogramms der unternehmen solvic & cie cnc und solvay interox s.a., mit dem die umweltschädlichen auswirkungen der herstellung und des inverkehrbringens von polyvinylchlorid, wasserstoffperoxid und natriumperborat verringert werden sollen."
"the 'one of us' initiative had asked the eu to end the financing of activities which presuppose the destruction of human embryos, in particular in the areas of research, development aid and public health.","die initiative „einer von uns“ fordert die eu auf, die finanzierung von tätigkeiten, die die zerstörung menschlicher embryonen voraussetzen – insbesondere in den bereichen forschung, entwicklungspolitik und öffentliche gesundheit – zu unterbinden."
"development and humanitarian aid commissioner poul nielson, trade commissioner pascal lamy, research commissioner philippe busquin and who director-general brundtland took stock of the ongoing and successful co-operation between the eu and the who on the programme for action on communicable diseases in developing countries (dcs).","die kommissare poul nielson (entwicklung und humanitäre hilfe), pascal lamy (handel) und philippe busquin (forschung) und who-generaldirektorin brundtland zogen eine bilanz der fortdauernden erfolgreichen kooperation zwischen der eu und der who beim aktionsprogramm zu übertragbaren krankheiten in entwicklungsländern."
"the commission, in accordance with the ecofin council report, to redirect expenditure where appropriate towards growth-enhancing investment in physical and human capital and knowledge, and, in cooperation with the member states, to further examine the necessity of developing a specific community guarantee instrument for certain post-construction risks in ten transport projects, to report on the results of that examination and, if appropriate, to present a proposal in this regard,","die kommission entsprechend dem bericht des ecofin-rates, ausgaben gegebenenfalls zu wachstumsfördernden investitionen in sach- und humankapital und wissen umzuschichten und in zusammenarbeit mit den mitgliedstaaten die notwendigkeit der entwicklung eines spezifischen garantieinstruments der gemeinschaft für bestimmte risiken in der phase nach dem bau bei ten-verkehrsprojekten weiter zu prüfen sowie über die ergebnisse dieser prüfung bericht zu erstatten und gegebenenfalls entsprechende vorschläge zu unterbreiten;"
"the commission has sent a letter of formal notice to all eu member states, except denmark, germany and spain, for failure to respect eu legislation on vessel traffic monitoring and information systems, a 2002 directive adopted in the wake of the erika accident.","die kommission hat an alle mitgliedstaaten außer dänemark, deutschland und spanien ein aufforderungsschreiben gerichtet, weil sie die eu-rechtsvorschriften über überwachungs- und informationssysteme für den schiffsverkehr, insbesondere einer nach der havarie der „erika"" verabschiedeten richtlinie aus dem jahr 2002, nicht erfüllt haben."
the commission has also initiated the development of a new strategy that will tackle environmental risks for human health in a broader sense.,"die kommission hat auch die ausarbeitung einer neuen strategie in die wege geleitet, die sich mit weiter gefassten umweltrisiken für die menschliche gesundheit befasst."
"the commission sent a letter of formal notice in july 2011 asking belgium to communicate whether measures had been taken by the flemish region and the brussels capital region to allow for the establishment of an accident investigation body, in particular to make adequate provision:","die kommission hat belgien im juli 2011 mit aufforderungsschreiben um auskunft gebeten, ob die regionen flandern und brüssel-hauptstadt maßnahmen zur einrichtung einer unfalluntersuchungsstelle und insbesondere geeignete vorkehrungen getroffen haben, um sicherzustellen, dass"
the commission therefore has concerns that the maltese scheme may lead to distortions of competition in the eu internal market by potentially attracting companies and vessels from other member states.,"die kommission hat daher bedenken, dass die maltesische regelung zu einer verfälschung des wettbewerbs im eu-binnenmarkt führen könnte, indem möglicherweise unternehmen und schiffe aus anderen mitgliedstaaten angezogen werden."
"however, the commission noted that two clauses included in the contract do restrict competition, in particular by limiting competitors' access to a certain type of contents, but that these clauses can be exempted under article 85(3) of the ec treaty for three years, which is the crucial period of tps's launch.","die kommission hat dennoch festgestellt, daß zwei vertragsbestimmungen wohl wettbewerbsbeschränkend sind, indem sie insbesondere den zugriff von wett-bewerbern auf gewisse programminhalte begrenzen, jedoch für eine dauer von drei jahren, die der entscheidenden markteinführungsphase tps' entspricht, gemäß artikel 85 absatz 3 eg-vertrag freigestellt werden können."
"the commission has repeatedly alerted eu member states to the dangers that uncontrolled landfills pose to human health and the environment.""","die kommission hat die eu-mitgliedstaaten wiederholt darauf hingewiesen, dass unkontrollierte deponien eine gefahr für die menschliche gesundheit und die umwelt darstellen können.“"
"under the europe 2020 strategy, the commission has highlighted the need to promote a better work-life balance, in particular through adequate childcare, more access to flexible working arrangements, and by making sure tax and benefit systems do not penalise second earners (ip/11/685).","die kommission hat im rahmen der strategie europa 2020 hervorgehoben, dass eine bessere vereinbarkeit von arbeitsleben und privatleben notwendig ist, insbesondere durch eine angemessene kinderbetreuung, durch ein größeres angebot an flexiblen arbeitszeitmodellen und durch steuer- und zulagensysteme, die zweitverdiener nicht benachteiligen (ip/11/685)."
"the commission has, however, established that the procedure in force in italy is excessively long with no apparent justification (several months or years to obtain a negative response or authorisation), and that the criteria used to establish the identity of the products - particularly as regards the designation, packaging and labelling - are not sufficiently clear.","die kommission hat jedoch festgestellt, dass sich das in italien geltende verfahren ohne ersichtlichen grund zu lange hinzieht (es vergehen mehrere monat oder jahre bis die zulassung verweigert oder erteilt wird) und dass es den kriterien an transparenz mangele, nach denen bestimmt wird, ob die produkte identisch sind; dies gilt vor allem in bezug auf die bezeichnung, die verpackung und die etikettierung."
the commission is confident that this year will bring to the fore new talent and put the limelight on citizens and patients views' and concerns on health.,"die kommission ist zuversichtlich, dass auch dieses jahr neue talente entdeckt werden und dass ansichten und sorgen der bürgerinnen und bürger, der patientinnen und patienten, hinsichtlich der gesundheit ins blickfeld gerückt werden."
the commission started a preliminary investigation when it learned from press reports that a capital increase was planned for cyprus airways.,"die kommission leitet eine erste untersuchung ein, nachdem in der presse über eine geplante kapitalerhöhung für cyprus airways berichtet worden war."
the commission also proposed to use the international environmental management standard en/iso 14001 (from 1996) in emas; the environmental management system should be implemented in accordance with this standard.,"die kommission schlägt ferner vor, die (1996 erlassene) internationale norm für umweltmanagementsysteme en/iso 14001 für emas anzuwenden; das umweltmanagementsystem sollte im einklang mit dieser norm durchgeführt werden."
"the commission notes that the report is only a first step, part of an on-going process that needs to be developed in order to build a reinforced strategy that should deliver clear and sustainable results on how environmental protection will be integrated within the single market policies.","die kommission stellt fest, daß der bericht nur ein erster schritt und teil eines prozesses ist, der weiterentwickelt werden muß, um zu einer stärkeren strategie zu gelangen, die eindeutigen aufschluß über die einbeziehung des umweltschutzes in die binnenmarktpolitik liefert."
